user_id	ad_clicked	attention	log_id
5npsk114ba8hfbj4jr3lt8jhf5	0	4	20181002033126
5o9js8slc8rg2a8mo5p3r93qm0	1	5	20181001211223
pi17qjfqmnhpsiahbumcsdq0r6	0	4	20181001170952
3rptg9g7l83imkbdsu2miignv7	0	1	20181001140754
049onniafv6fe4e6q42k6nq1n2	0	1	20181001132434
hvknr6lco4j1bneuhrtk8421k1	0	5	20180831150341
18jmk1psanccijac551b9dd0d5	1	5	20180831064854
87o9pjtdc9l5koh3sjsu60ej70	0	3	20180723143953
6ol5p5qu89sft4ohlj0cc6pg52	0	2	20180704231011
mbvltjdmhbjug3jcjf6310ugs5	0	4	20180624190554
0gji5rrl52352r65pcsaa0s5d1	0	1	20180619212323
0g17t9n4oaiqbm3kig5bm0vp83	0	2	20180118225012
n7l2cc37bvka10uru4dep8s055	1	5	20170425141540
d79aslas41chaom3f0g36oete1	0	4	20170402020004
fcggr26d9ohgdn9s8ml6kij782	0	2	20170314151811
4dlc2pejnf86d8ch7qvsuknuk4	0	1	20170313184736
p708ifkndshrcq2lgir4hvi531	0	2	20170214143716
037em0r7ku12ltcsqrntvksr47	0	2	20170212221146
rgu9q2adcc0imef6e3lrt35r84	0	3	20161229181138
1gnpmd3n1q4142ourtth431122	0	4	20161226022925
98b16dd9jglqfpqc6bvn3874k4	0	2	20161224015311
0r7jc778qf96kg6bs7bttdhac5	0	2	20181002100521
i8lt2g1chhckc95mhbd7r7u5d1	0	3	20181002051437
umunmqhue9ai5di1n8q7jbfoo6	0	2	20181002004334
62b0eufnattbpv7uuj48vh09r6	1	1	20181001210136
ouc7us983ngdvp12ludrlkstm7	1	2	20181001203338
0lcecigru1lhmlddgatadgi5d7	0	4	20181001161008
qtl71bjc4l6hcpugoqvjn32625	1	3	20181001160635
9llv24ngl42d2hrqjmqmmpn6d6	0	2	20181001151929
j9phgv9lucvu707e1324qg9dg0	0	5	20180623103801
o3aeri3bv1ocd40qn2b7ltjjd0	1	4	20180126104700
jtt18nmmv53lo9upermc6c76a7	0	4	20170402223309
apmvjafbc3lu2drvbhhpd0pp72	0	2	20170226193240
oh9p7t5ul5pi9875k2r082jfv2	0	4	20170211003744
7dpncb0oi8i4jdpuk2agilbqf0	0	4	20170210173101
pid307fusfjko5haktnljc1016	0	1	20170208014109
ib5e0mdqj7n5e7m6ajts0s2fc5	0	4	20170207141707
r46g79d31qu6mhn0jl39985386	0	3	20170205064337
5bgs3kfo6ded8m6p240iffn1i0	1	5	20170203235351
umhncl7j24njh5j68i3j1qa2g4	1	5	20170201232934
miulgkc86q43ouv7hfgclg2qk7	0	2	20170201224632
mbik88nftgqm1044r6et0i63t5	0	5	20161225035255
74u6903i8btgestu99730u4057	1	1	20181002152141
8n91td0vs0colgg7lc2a4b8ov5	0	2	20181002002039
49cbs62vgec00iegar80jdf033	0	4	20181001215102
nmgdqgp7btojl059b1p8tti4p4	0	2	20181001191043
928dq8o9ll5i62oa64d9ecuhr0	0	5	20181001130826
t01jronkmslokeptq5cilc98m5	1	3	20181001125328
07u3pf6dmdl5shlmeuk1via452	1	1	20180831000203
nqjt4ogjqahlhqum6nbtuhl4d3	1	4	20180721175933
qvp6equi20ag8b7omkrtiiq8f2	0	1	20180713045140
eqkqvud53uvaq2bb19fuj7p211	0	3	20180704185950
gchtvn08tnqn2cp1dkl68n27t5	0	5	20180512192118
tjpe10p9g8hj7r2semlldcrim3	0	5	20180511174907
k8gr7ocb7l73r03mrk0qvsfth7	0	2	20180126193708
lhkdhalleru7saos4k5bfeudf5	0	2	20180119052148
7602ltg6ejm82utt0r340uikn5	0	4	20170408225651
1c582v22o46b1j1h8psp5a2v16	0	5	20170407043355
u7mdjur4q7d30fcolkj2t85r92	0	2	20170315180855
lsvj0oh4s9pr75i26j8trbtnb1	0	5	20170220080626
vjiccjuk0c9ftku2lhiqe05hc2	1	5	20170214144956
i7jsmvv2ii6v8cr7hbear6bbl6	0	1	20170212192213
m099426pqd834kamjakfp14sf2	1	5	20170210233458
qb52gcdoot0h3mjheea09bgrr1	0	4	20170201010825
